Company,GICS Sector,Weight (%)
Coinbase Global Inc,Financials,0.08
Electronic Arts Inc,Communication Services,0.08
Entergy Corp,Utilities,0.08
Datadog Inc,Information Technology,0.08
Nasdaq Inc,Financials,0.08
Public Storage,Real Estate,0.08
Corteva Inc,Materials,0.08
Microchip Technology Inc,Information Technology,0.08
MetLife Inc,Financials,0.08
Fastenal Co,Industrials,0.08
Carvana Co,Consumer Discretionary,0.08
Targa Resources Corp,Energy,0.08
Rockwell Automation Inc,Industrials,0.07
MSCI Inc,Financials,0.07
Ventas Inc,Real Estate,0.07
Westinghouse Air Brake Technologies Corp,Industrials,0.07
PayPal Holdings Inc,Financials,0.07
Yum! Brands Inc,Consumer Discretionary,0.07
Old Dominion Freight Line Inc,Industrials,0.07
Zoetis Inc,Health Care,0.07
IDEXX Laboratories Inc,Health Care,0.07
eBay Inc,Consumer Discretionary,0.07
Ford Motor Co,Consumer Discretionary,0.07
Fifth Third Bancorp,Financials,0.07
Delta Air Lines Inc,Industrials,0.07
Exelon Corp,Utilities,0.07
Garmin Ltd,Consumer Discretionary,0.07
Block Inc,Financials,0.07
Cardinal Health Inc,Health Care,0.07
Edwards Lifesciences Corp,Health Care,0.07
ON Semiconductor Corp,Information Technology,0.06
Crown Castle Inc,Real Estate,0.06
Martin Marietta Materials Inc,Materials,0.06
Keurig Dr Pepper Inc,Consumer Staples,0.06
PG&E Corp,Utilities,0.06
Kroger Co/The,Consumer Staples,0.06
Live Nation Entertainment Inc,Communication Services,0.06
EMCOR Group Inc,Industrials,0.06
EQT Corp,Energy,0.06
Public Service Enterprise Group Inc,Utilities,0.06
Ameriprise Financial Inc,Financials,0.06
Vulcan Materials Co,Materials,0.06
American International Group Inc,Financials,0.06
WEC Energy Group Inc,Utilities,0.06
Jabil Inc,Information Technology,0.06
DR Horton Inc,Consumer Discretionary,0.06
Hershey Co/The,Consumer Staples,0.06
Becton Dickinson & Co,Health Care,0.06
Iron Mountain Inc,Real Estate,0.06
Take-Two Interactive Software Inc,Communication Services,0.06
Consolidated Edison Inc,Utilities,0.06
CBRE Group Inc,Real Estate,0.06
Chipotle Mexican Grill Inc,Consumer Discretionary,0.06
Hartford Insurance Group Inc/The,Financials,0.06
Roper Technologies Inc,Information Technology,0.06
Carnival Corp,Consumer Discretionary,0.06
State Street Corp,Financials,0.06
Hewlett Packard Enterprise Co,Information Technology,0.06
Archer-Daniels-Midland Co,Consumer Staples,0.05
NRG Energy Inc,Utilities,0.05
Copart Inc,Industrials,0.05
Arch Capital Group Ltd,Financials,0.05
EchoStar,Communication Services,0.05
Steel Dynamics Inc,Materials,0.05
Extra Space Storage Inc,Real Estate,0.05
Sysco Corp,Consumer Staples,0.05
Texas Pacific Land Corp,Energy,0.05
Expedia Group Inc,Consumer Discretionary,0.05
Cboe Global Markets Inc,Financials,0.05
Northern Trust Corp,Financials,0.05
Casey's General Stores,Consumer Staples,0.05
Qnity Electronics Inc,Information Technology,0.05
Dover Corp,Industrials,0.05
Otis Worldwide Corp,Industrials,0.05
Atmos Energy Corp,Utilities,0.05
Devon Energy Corp,Energy,0.05
VICI Properties Inc,Real Estate,0.05
ResMed Inc,Health Care,0.05
Paychex Inc,Industrials,0.05
Raymond James Financial Inc,Financials,0.05
Axon Enterprise Inc,Industrials,0.05
United Airlines Holdings Inc,Industrials,0.05
Prudential Financial Inc,Financials,0.05
DTE Energy Co,Utilities,0.05
Teledyne Technologies Inc,Information Technology,0.05
Fiserv Inc,Financials,0.05
Kimberly-Clark Corp,Consumer Staples,0.05
Halliburton Co,Energy,0.05
Agilent Technologies Inc,Health Care,0.05
Kenvue Inc,Consumer Staples,0.05
Ameren Corp,Utilities,0.05
Ingersoll Rand Inc,Industrials,0.05
M&T Bank Corp,Financials,0.05
Interactive Brokers Group Inc,Financials,0.05
Las Vegas Sands Corp,Consumer Discretionary,0.05
Huntington Bancshares Inc/OH,Financials,0.05
Waters Corp,Health Care,0.05
Workday Inc,Information Technology,0.05
PPL Corp,Utilities,0.04
Dexcom Inc,Health Care,0.04
Constellation Brands Inc,Consumer Staples,0.04
KeyCorp,Financials,0.04
AvalonBay Communities Inc,Real Estate,0.04
American Water Works Co Inc,Utilities,0.04
PPG Industries Inc,Materials,0.04
Coterra Energy Inc,Energy,0.04
Dollar General Corp,Consumer Staples,0.04
